26/11/21;Estoque Fisico;por Produto;Fl   1
P r o d u t o;Descricao;Qtde;
;;;
0000000000073;NAO CADASTRADO;0;
0000000000078;NAO CADASTRADO;0;
0000000000083;NAO CADASTRADO;0;
0000000000652;NAO CADASTRADO;0;
0688575201895;NAO CADASTRADO;0;
0719346065405;NAO CADASTRADO;0;
3348901016285;NAO CADASTRADO;0;
334890168247;NAO CADASTRADO;0;
3349668509669;NAO CADASTRADO;0;
3352818517001;NAO CADASTRADO;0;
338901321129;NAO CADASTRADO;0;
3423470317534;NAO CADASTRADO;0;
3423470396010;NAO CADASTRADO;0;
3474636483938;NAO CADASTRADO;0;
3494800028680;NAO CADASTRADO;1;
3507342592759;NAO CADASTRADO;0;
737052079080;NAO CADASTRADO;0;
766124306335;NAO CADASTRADO;0;
7798779811690;NAO CADASTRADO;0;
8011003072101;NAO CADASTRADO;0;
8011003078325;NAO CADASTRADO;0;
8411061749920;NAO CADASTRADO;0;
8411061816615;212 BODY F 250ML;10;
8411061959367;212 BODY H 250ML;0;
8411061765142;212 BODY SEXY F 250ML;0;
8411061251607;212 F 100ML;2;
8411061251805;212 F 30ML;3;
8411061251706;212 F 60ML;3;
8411061787144;212 F SURF 60ML;0;
8411061749975;212 GLAM F 60ML;0;
8411061749951;212 GLAM H 100ML;0;
8411061341605;212 H 100ML;1;
8411061762264;212 H 200ML;2;
0000000000212;212 H 30ML;0;
8411061341704;212 H 50ML;0;
8411061864234;212 H ACQUA 100ML;0;
8411061347003;212 H DEO 150ML;0;
8411061825983;212 H PILLS 20ML;0;
8411061787151;212 H SURF 100ML;0;
8411061340240;212 H2O 100ML;0;
8411061254714;212 H2O F 60ML;0;
8411061974759;212 HEROS 50ML;1;
8411061637494;212 KIT H 100ML;0;
8411061704639;212 KIT H 30ML;0;
8411061716250;212 KIT SEXY F100ML;0;
8411061972656;212 MEN HEROES 90ML;0;
8411061765203;212 MEN SUMMER 100ML;0;
8411061340202;212 ON ICE 100ML;0;
8411061562994;212 ON ICE 60ML;0;
