id;id_product;id_loja;cod_prod;titulo;estoque_qtd;
1;NULL;3;8411061816615;212 BODY F 250ML;10;
2;NULL;3;8411061959367;212 BODY H 250ML;0;
3;NULL;3;8411061765142;212 BODY SEXY F 250ML;0;
4;NULL;3;8411061251607;212 F 100ML;2;
5;NULL;3;8411061251805;212 F 30ML;3;
6;NULL;3;8411061251706;212 F 60ML;3;
7;NULL;3;8411061787144;212 F SURF 60ML;0;
8;NULL;3;8411061749975;212 GLAM F 60ML;0;
9;NULL;3;8411061749951;212 GLAM H 100ML;0;
10;NULL;3;8411061341605;212 H 100ML;1;
11;NULL;3;8411061762264;212 H 200ML;2;
12;NULL;3;212;212 H 30ML;0;
13;NULL;3;8411061341704;212 H 50ML;0;
14;NULL;3;8411061864234;212 H ACQUA 100ML;0;
15;NULL;3;8411061347003;212 H DEO 150ML;0;
16;NULL;3;8411061825983;212 H PILLS 20ML;0;
17;NULL;3;8411061787151;212 H SURF 100ML;0;
18;NULL;3;8411061340240;212 H2O 100ML;0;
19;NULL;3;8411061254714;212 H2O F 60ML;0;
20;NULL;3;8411061974759;212 HEROS 50ML;1;
21;NULL;3;8411061637494;212 KIT H 100ML;0;
22;NULL;3;8411061704639;212 KIT H 30ML;0;
23;NULL;3;8411061716250;212 KIT SEXY F100ML;0;
24;NULL;3;8411061972656;212 MEN HEROES 90ML;0;
25;NULL;3;8411061765203;212 MEN SUMMER 100ML;0;
26;NULL;3;8411061340202;212 ON ICE 100ML;0;
27;NULL;3;8411061562994;212 ON ICE 60ML;0;
28;NULL;3;8411061825976;212 PILLS F 20ML;0;
29;NULL;3;8411061719374;212 POP F 60ML;0;
30;NULL;3;8411061719312;212 POP H 100ML;0;
31;NULL;3;8411061021507;212 SEXY BODY F 250ML;10;
32;NULL;3;8411061021521;212 SEXY BODY H 250ML;3;
33;NULL;3;8411061545904;212 SEXY EDP 100ML;2;
34;NULL;3;8411061558423;212 SEXY EDP 30ML;2;
35;NULL;3;8411061558416;212 SEXY EDP 60ML;2;
36;NULL;3;8411061602522;212 SEXY H 100ML;0;
37;NULL;3;8411061670989;212 SEXY H 30ML;0;
38;NULL;3;8411061602539;212 SEXY H 50ML;0;
39;NULL;3;8411061604564;212 SEXY H DEO 150ML;0;
40;NULL;3;8411061826195;212 SEXY PILLS F 20ML;0;
41;NULL;3;8411061826201;212 SEXY PILLS H 20ML;0;
42;NULL;3;8411061605158;212 SPLASH F 60ML;0;
43;NULL;3;8411061605165;212 SPLASH H 100ML;0;
44;NULL;3;8411061765197;212 SUMMER F 60ML;0;
45;NULL;3;8411061870518;212 VIP BLACK 200ML;2;
46;NULL;3;8411061869376;212 VIP BLACK H 100ML;1;
47;NULL;3;8411061869406;212 VIP BLACK H 50ML;0;
48;NULL;3;8411061804025;212 VIP CLUB F 80ML;0;
49;NULL;3;8411061804049;212 VIP CLUB H 100ML;0;
50;NULL;3;8411061723791;212 VIP DESOD 150ML;0;
51;NULL;3;8411061878668;212 VIP F 125ML;4;
52;NULL;3;8411061711774;212 VIP F 30ML;3;
53;NULL;3;8411061711804;212 VIP F 50ML;0;
54;NULL;3;8411061711767;212 VIP F 80ML;3;
55;NULL;3;8411061723760;212 VIP H 100ML;2;
56;NULL;3;8411061782347;212 VIP H 200ML;0;
57;NULL;3;8411061819883;212 VIP H 30ML;0;
58;NULL;3;8411061723777;212 VIP H 50ML;0;
59;NULL;3;8411061724217;212 VIP KIT 80ML;0;
60;NULL;3;8411061995730;212 VIP MEN WINS 100ML;6;
61;NULL;3;8411061826003;212 VIP PILLS F 20ML;0;
62;NULL;3;8411061826034;212 VIP PILLS H 20ML;0;
63;NULL;3;8411061781197;212 VIP ROSE 30ML;4;
64;NULL;3;8411061838778;212 VIP ROSE EDP 125ML;1;
65;NULL;3;8411061777183;212 VIP ROSE EDP 50ML;1;
66;NULL;3;8411061777176;212 VIP ROSE EDP 80ML;0;
67;NULL;3;8411061943618;212 VIP ROSE EXTRA 80ML;0;
68;NULL;3;8411061826010;212 VIP ROSE PILLS F 20ML;0;
69;NULL;3;8411061970959;212 VIP ROSE RED 80ML F;0;
70;NULL;3;8411061995761;212 VIP WINS F 80ML;5;
71;NULL;3;837015000615;273 F 30ML;0;
72;NULL;3;837015000509;273 F 50ML;0;
73;NULL;3;837015000493;273 F 75ML;0;
74;NULL;3;3363930236558;273 H 50ML;0;
75;NULL;3;3608940513412;273 INDICO F 50ML;0;
76;NULL;3;3608940513429;273 INDICO F 75ML;0;
