id;id_product;id_loja;cod_prod;titulo;estoque_qtd
(1;NULL;'003';'0000000000073';'NAO CADASTRADO';0),
(2;NULL;'003';'0000000000078';'NAO CADASTRADO';0),
(3;NULL;'003';'0000000000083';'NAO CADASTRADO';0),
(4;NULL;'003';'00000000000652';'NAO CADASTRADO';0),
(5;NULL;'003';'688575201895';'NAO CADASTRADO';0),
(6;NULL;'003';'719346065405';'NAO CADASTRADO';0),
(7;NULL;'003';'3348901016285';'NAO CADASTRADO';0),
(8;NULL;'003';'334890168247';'NAO CADASTRADO';0),
(9;NULL;'003';'3349668509669';'NAO CADASTRADO';0),
(10;NULL;'003';'3352818517001';'NAO CADASTRADO';0),
(11;NULL;'003';'338901321129';'NAO CADASTRADO';0),
(12;NULL;'003';'3423470317534';'NAO CADASTRADO';0),
(13;NULL;'003';'3423470396010';'NAO CADASTRADO';0),
(14;NULL;'003';'3474636483938';'NAO CADASTRADO';0),
(15;NULL;'003';'3494800028680';'NAO CADASTRADO';1),
(16;NULL;'003';'3507342592759';'NAO CADASTRADO';0),
(17;NULL;'003';'737052079080';'NAO CADASTRADO';0),
(18;NULL;'003';'766124306335';'NAO CADASTRADO';0),
(19;NULL;'003';'7798779811690';'NAO CADASTRADO';0),
(20;NULL;'003';'8011003072101';'NAO CADASTRADO';0),
(21;NULL;'003';'8011003078325';'NAO CADASTRADO';0),
(22;NULL;'003';'8411061816615';'212 BODY F 250ML';1),
(23;NULL;'003';'8411061959367';'212 BODY H 250ML';0),
(24;NULL;'003';'8411061765142';'212 BODY SEXY F 250ML';0),
(25;NULL;'003';'8411061251607';'212 F 100ML';2),
(26;NULL;'003';'8411061251805';'212 F 30ML';3),
(27;NULL;'003';'8411061251706';'212 F 60ML';3),
(28;NULL;'003';'8411061787144';'212 F SURF 60ML';0),
(29;NULL;'003';'8411061749975';'212 GLAM F 60ML';0),
(30;NULL;'003';'8411061749951';'212 GLAM H 100ML';0),
(31;NULL;'003';'8411061341605';'212 H 100ML';1),
(32;NULL;'003';'8411061762264';'212 H 200ML';0),
(33;NULL;'003';'212';'212 H 30ML';0),
(34;NULL;'003';'8411061341704';'212 H 50ML';0),
(35;NULL;'003';'8411061864234';'212 H ACQUA 100ML';0),
(36;NULL;'003';'8411061347003';'212 H DEO 150ML';0),
(37;NULL;'003';'8411061825983';'212 H PILLS 20ML';0),
(38;NULL;'003';'8411061787151';'212 H SURF 100ML';0),
(39;NULL;'003';'8411061340240';'212 H2O 100ML';0),
(40;NULL;'003';'8411061254714';'212 H2O F 60ML';0),
(41;NULL;'003';'8411061974759';'212 HEROS 50ML';1),
(42;NULL;'003';'8411061637494';'212 KIT H 100ML';0),
(43;NULL;'003';'8411061704639';'212 KIT H 30ML';0),
(44;NULL;'003';'8411061716250';'212 KIT SEXY F100ML';0),
(45;NULL;'003';'8411061972656';'212 MEN HEROES 90ML';0),
(46;NULL;'003';'8411061765203';'212 MEN SUMMER 100ML';0),
(47;NULL;'003';'8411061340202';'212 ON ICE 100ML';0),
(48;NULL;'003';'8411061562994';'212 ON ICE 60ML';0),
(49;NULL;'003';'8411061825976';'212 PILLS F 20ML';0),
(50;NULL;'003';'8411061719374';'212 POP F 60ML';0),
(51;NULL;'003';'8411061719312';'212 POP H 100ML';0),
(52;NULL;'003';'8411061545904';'212 SEXY EDP 100ML';0),
(53;NULL;'003';'8411061558423';'212 SEXY EDP 30ML';2),
(54;NULL;'003';'8411061558416';'212 SEXY EDP 60ML';2),
(55;NULL;'003';'8411061602522';'212 SEXY H 100ML';1),
(56;NULL;'003';'8411061670989';'212 SEXY H 30ML';0),
(57;NULL;'003';'8411061602539';'212 SEXY H 50ML';0),
(58;NULL;'003';'8411061604564';'212 SEXY H DEO 150ML';0),
(59;NULL;'003';'8411061826195';'212 SEXY PILLS F 20ML';0),
(60;NULL;'003';'8411061826201';'212 SEXY PILLS H 20ML';0),
(61;NULL;'003';'8411061605158';'212 SPLASH F 60ML';0),
(62;NULL;'003';'8411061605165';'212 SPLASH H 100ML';0),
(63;NULL;'003';'8411061765197';'212 SUMMER F 60ML';0),
(64;NULL;'003';'8411061870518';'212 VIP BLACK 200ML';2),
(65;NULL;'003';'8411061869376';'212 VIP BLACK H 100ML';1),
(66;NULL;'003';'8411061869406';'212 VIP BLACK H 50ML';0),
(67;NULL;'003';'8411061804025';'212 VIP CLUB F 80ML';0),
(68;NULL;'003';'8411061804049';'212 VIP CLUB H 100ML';0),
(69;NULL;'003';'8411061723791';'212 VIP DESOD 150ML';0),
(70;NULL;'003';'8411061878668';'212 VIP F 125ML';4),
(71;NULL;'003';'8411061711774';'212 VIP F 30ML';3),
(72;NULL;'003';'8411061711804';'212 VIP F 50ML';0),
(73;NULL;'003';'8411061711767';'212 VIP F 80ML';3),
(74;NULL;'003';'8411061723760';'212 VIP H 100ML';2),
(75;NULL;'003';'8411061782347';'212 VIP H 200ML';0),
(76;NULL;'003';'8411061819883';'212 VIP H 30ML';0),
(77;NULL;'003';'8411061723777';'212 VIP H 50ML';0),
(78;NULL;'003';'8411061724217';'212 VIP KIT 80ML';0),
(79;NULL;'003';'8411061826003';'212 VIP PILLS F 20ML';0),
(80;NULL;'003';'8411061826034';'212 VIP PILLS H 20ML';0),
(81;NULL;'003';'8411061781197';'212 VIP ROSE 30ML';4),
(82;NULL;'003';'8411061838778';'212 VIP ROSE EDP 125ML';2),
(83;NULL;'003';'8411061777183';'212 VIP ROSE EDP 50ML';2),
(84;NULL;'003';'8411061777176';'212 VIP ROSE EDP 80ML';1),
(85;NULL;'003';'8411061943618';'212 VIP ROSE EXTRA 80ML';0),
(86;NULL;'003';'8411061826010';'212 VIP ROSE PILLS F 20ML';0),
(87;NULL;'003';'8411061970959';'212 VIP ROSE RED 80ML F';0),
(88;NULL;'003';'837015000615';'273 F 30ML';0),
(89;NULL;'003';'837015000509';'273 F 50ML';0),
(90;NULL;'003';'837015000493';'273 F 75ML';0),
(91;NULL;'003';'3363930236558';'273 H 50ML';0),
(92;NULL;'003';'3608940513412';'273 INDICO F 50ML';0),
(93;NULL;'003';'3608940513429';'273 INDICO F 75ML';0),
(94;NULL;'003';'3608940513474';'273 INDICO M 50ML';0),
(95;NULL;'003';'3608940513481';'273 INDICO M 75ML';0),
(96;NULL;'003';'3608940502317';'360 F 100ML';0),
(97;NULL;'003';'3608940502324';'360 F 30ML';0),
(98;NULL;'003';'3608940500658';'360 F 50ML';0),
(99;NULL;'003';'3363930035519';'360 H 50ML';0),
(100;NULL;'003';'3608940502454';'360 M 30ML';0),
(101;NULL;'003';'4011700740031';'4711 EAU DE COLAGNE 800ML';0),
(102;NULL;'003';'4011700740376';'4711 EAU DE COLOGNE 100ML';0),
(103;NULL;'003';'4011700740048';'4711 EAU DE COLOGNE 400ML';0),
(104;NULL;'003';'4011700740772';'4711 EAU DE COLOGNE SPRAY 90ML';0),
(105;NULL;'003';'4011700740062';'4711 EUA DE COLOGNE 200ML';0),
(106;NULL;'003';'4011700747801';'4711 REMIX COLOGNE 100ML';0),
(107;NULL;'003';'85805390600';'5TH AVENIDA 125 ML';1),
(108;NULL;'003';'85805390402';'5TH AVENUE 30 ML';0),
(109;NULL;'003';'85805390501';'5TH AVENUE 75 ML';0),
(110;NULL;'003';'6291100177097';'713 H 100ML';0),
(111;NULL;'003';'85715166524';'ABERCROMBIE AUTHENTIC EDP F 50ML';0),
(112;NULL;'003';'85715166517';'ABERCROMBIE AUTHENTIC F EDP 100ML';0),
(113;NULL;'003';'85715166531';'ABERCROMBIE AUTHENTIC F EDP 30ML';0),
(114;NULL;'003';'85715166012';'ABERCROMBIE AUTHENTIC H 100ML';1),
(115;NULL;'003';'85715163134';'ABERCROMBIE FITCH 30ML';0),
(116;NULL;'003';'85715163127';'ABERCROMBIE FITCH H 50ML';0),
(117;NULL;'003';'85715163103';'ABERCROMBIE FITCH H100ML';0),
(118;NULL;'003';'7312040040100';'ABOSOLUT RASPBERRY';2),
(119;NULL;'003';'123456789101';'ABRIDOR 1PC 02';0),
(120;NULL;'003';'123456789105';'ABRIDOR 2PC 06';0),
(121;NULL;'003';'123456789103';'ABRIDOR 3PC 04';0),
(122;NULL;'003';'123456789104';'ABRIDOR 3PC 05';0),
(123;NULL;'003';'123456789102';'ABRIDOR 4PC 03';-3),
(124;NULL;'003';'123456789109';'ABRIDOR 4PC 09';0),
(125;NULL;'003';'123456781010';'ABRIDOR 4PC 10';0),
(126;NULL;'003';'123456781012';'ABRIDOR 4PC 12';0),
(127;NULL;'003';'123456789107';'ABRIDOR 5PC 07';0),
(128;NULL;'003';'123456789108';'ABRIDOR 5PC 08';-1),
(129;NULL;'003';'123456781011';'ABRIDOR 6PC 11';0),
(130;NULL;'003';'5908287234154';'ABRIDOR 7PC 01';0),
(131;NULL;'003';'7312040070107';'ABSOLUT APEACH';1),
(132;NULL;'003';'7312040221004';'ABSOLUT APPLE';1),
(133;NULL;'003';'7312040090105';'ABSOLUT CITRON';1),
(134;NULL;'003';'7312040151004';'ABSOLUT PEARS';1),
(135;NULL;'003';'7312040017034';'ABSOLUT TRADICIONAL';1),
(136;NULL;'003';'7898416442339';'ABSOLUTE HOMME 100ML';0),
(137;NULL;'003';'3614271992932';'ACQUA D GIO ABSOLU 125ML';0),
(138;NULL;'003';'3614271992901';'ACQUA D GIO ABSOLU 75ML';0),
(139;NULL;'003';'3360372054559';'ACQUA DI GIO F 100ML';0),
(140;NULL;'003';'3360372054153';'ACQUA DI GIO F 35ML';0),
(141;NULL;'003';'3360372054160';'ACQUA DI GIO F 50ML';0),
(142;NULL;'003';'3360372058878';'ACQUA DI GIO H 100ML';1),
(143;NULL;'003';'3360372078500';'ACQUA DI GIO H 200ML';0),
(144;NULL;'003';'3360372058939';'ACQUA DI GIO H 30ML';0),
(145;NULL;'003';'3360372058861';'ACQUA DI GIO H 50ML';0),
(146;NULL;'003';'2';'ACQUA DI GIO PROFONDO EDP 125ML';0),
(147;NULL;'003';'3605521172525';'ACQUA DI GIOIA EDP F 100ML';0),
(148;NULL;'003';'3605521172648';'ACQUA DI GIOIA EDP F 30ML';0),
(149;NULL;'003';'3605521172587';'ACQUA DI GIOIA EDP F 50ML';2),
(150;NULL;'003';'3614273428644';'ACQUA GIO PROFONDO LIGHTS 75ML';0),
(151;NULL;'003';'6291100179466';'ACTIVE MAN 100ML';0),
(152;NULL;'003';'6291100170098';'ACTIVE WOMAN 100ML';0),
(153;NULL;'003';'3412242310057';'ADIDAS 50ML';0),
(154;NULL;'003';'3412241210303';'ADIDAS ENERGY 100ML';0),
(155;NULL;'003';'5017986056049';'ADMIRE 100 ML';0),
(156;NULL;'003';'8410225536031';'AGATHA FLOREVER EDT 80ML';0),
(157;NULL;'003';'8410225542988';'AGATHA REBEL LOVE 80ML';0),
(158;NULL;'003';'8715658969945';'AGENT SPORTS 100ML';0),
(159;NULL;'003';'8715658969938';'AGENT URBAN 100ML';0),
(160;NULL;'003';'3442151008721';'AL.MATINO BLACK H 100ML';0),
(161;NULL;'003';'3439602800119';'ALIEN EDP 30ML';0),
(162;NULL;'003';'3439602800317';'ALIEN EDP 60ML';0),
(163;NULL;'003';'3439602802113';'ALIEN EDP 90ML';0),
(164;NULL;'003';'3439602810118';'ALIEN EDT 30ML';0),
(165;NULL;'003';'5060053110793';'ALL ME F 100ML';0),
(166;NULL;'003';'3145891236408';'ALLU SPORT 150ML';0),
(167;NULL;'003';'394';'ALLURE BLANCHE 50ML H';0),
(168;NULL;'003';'3145891274608';'ALLURE BLANCHE H 100ML';0),
(169;NULL;'003';'3145891125306';'ALLURE EDP F 100ML';0),
(170;NULL;'003';'3145891124606';'ALLURE EDT F 100ML';0),
(171;NULL;'003';'3145891124507';'ALLURE F 50ML';0),
(172;NULL;'003';'3145891214604';'ALLURE H 100ML';0),
(173;NULL;'003';'3145891214505';'ALLURE H 50ML';0),
(174;NULL;'003';'3145891297201';'ALLURE SENSUELLE 50ML';0),
(175;NULL;'003';'3145891297300';'ALLURE SENSUELLE EDP 100ML';0),
(176;NULL;'003';'3145891294606';'ALLURE SENSUELLE EDT 100ML';0),
(177;NULL;'003';'3145891236309';'ALLURE SPORT 100ML';0),
(178;NULL;'003';'3145891236200';'ALLURE SPORT 50ML';0),
(179;NULL;'003';'3145891235609';'ALLURE SPORT EXTREME H 100ML';0),
(180;NULL;'003';'3145891235500';'ALLURE SPORT EXTREME H 50ML';0),
(181;NULL;'003';'3274878122561';'AMARIGE 100ML';1),
(182;NULL;'003';'3274871122506';'AMARIGE 30ML';0),
(183;NULL;'003';'3274870122552';'AMARIGE 50ML';0),
(184;NULL;'003';'3274870123467';'AMARIGE MARIAGE 100ML';0),
(185;NULL;'003';'3274870123450';'AMARIGE MARIAGE 50ML';0),
(186;NULL;'003';'3274871122476';'AMARIGE YLANG 60ML';0),
(187;NULL;'003';'3360373063680';'AMOR AMOR 100ML';1),
(188;NULL;'003';'3360373063697';'AMOR AMOR 30ML';0),
(189;NULL;'003';'3360373063703';'AMOR AMOR 50ML';2),
(190;NULL;'003';'3605521487742';'AMOR AMOR FORBIDDEN KISS F 100ML';0),
(191;NULL;'003';'3605521487537';'AMOR AMOR FORBIDDEN KISS F 30ML';0),
(192;NULL;'003';'3605520972065';'AMOR AMOR SUNRISE 50ML';0),
(193;NULL;'003';'3605520663871';'AMOR AMOR TENTATION 100ML';0),
(194;NULL;'003';'3605520663932';'AMOR AMOR TENTATION 50ML';0),
(195;NULL;'003';'3360373047994';'AMOR POUR HOMME 40ML';0),
(196;NULL;'003';'3360373047130';'AMOR POUR HOMME 75ML';0),
(197;NULL;'003';'3454090002012';'AMOUR TOUJOURS F 100ML';0),
(198;NULL;'003';'7899026458086';'AMPOLA ABSOLUT REPAIR';-2),
(199;NULL;'003';'000000044L104';'AMPOLA FIBERCEUT';0),
(200;NULL;'003';'3360374533205';'ANAIS ANAIS 100ML';0),
(201;NULL;'003';'3360370512044';'ANAIS ANAIS 30ML';0),
(202;NULL;'003';'3360374507206';'ANAIS ANAIS 50ML';0),
(203;NULL;'003';'3605521869807';'ANAIS ANAIS PREMIER 50ML';0),
(204;NULL;'003';'3274870373268';'ANGE OU DEMON EDP 100ML';1),
(205;NULL;'003';'3274870373305';'ANGE OU DEMON EDP 30ML';1),
(206;NULL;'003';'3274870373251';'ANGE OU DEMON EDP 50ML';0),
(207;NULL;'003';'413';'ANGE OU DEMON EDT 100ML';0),
(208;NULL;'003';'3274870372209';'ANGE OU DEMON EDT 30ML';0),
(209;NULL;'003';'412';'ANGE OU DEMON EDT 50ML';0),
(210;NULL;'003';'3274870422300';'ANGE OU DEMON ELIXIR 30ML';0),
(211;NULL;'003';'3274870422362';'ANGE OU DEMON ELIXIR F 100ML';0),
(212;NULL;'003';'3274870422355';'ANGE OU DEMON ELIXIR F 50ML';0),
(213;NULL;'003';'3274870374265';'ANGE OU DEMON SECRET 100ML';0),
(214;NULL;'003';'3274870374258';'ANGE OU DEMON SECRET 50ML';0),
(215;NULL;'003';'3439600203097';'ANGEL 25ML';2),
(216;NULL;'003';'3439600282887';'ANGEL 25ML+5ML';0),
(217;NULL;'003';'3439600204094';'ANGEL 50ML';0),
(218;NULL;'003';'3439600414011';'ANGEL CREME CORPO 200ML';0),
(219;NULL;'003';'3439600217094';'ANGEL EDP 100ML';0),
(220;NULL;'003';'3439600244090';'ANGEL F 50ML REFIL';0),
(221;NULL;'003';'3439600604511';'ANGEL H 100ML';0),
(222;NULL;'003';'3439600625097';'ANGEL H 50ML';0),
(223;NULL;'003';'3439600008821';'ANGEL MUSE F 30ML';0),
(224;NULL;'003';'3439600008838';'ANGEL MUSE F 50ML';0),
(225;NULL;'003';'892456000280';'ANIMALE ANIMALE F 100ML';0),
(226;NULL;'003';'381';'ANIMALE ANIMALE F 30ML';0),
(227;NULL;'003';'3363930651436';'ANIMALE ANIMALE F 50ML';0),
(228;NULL;'003';'3363930671632';'ANIMALE ANIMALE H 100ML';-1),
(229;NULL;'003';'892456000662';'ANIMALE ANIMALE H 200ML';-2),
(230;NULL;'003';'3363930671335';'ANIMALE ANIMALE H 30ML';0),
(231;NULL;'003';'892456000303';'ANIMALE ANIMALE H 50ML';0),
(232;NULL;'003';'892456000549';'ANIMALE AZUL 100ML';0),
(233;NULL;'003';'892456000556';'ANIMALE AZUL 50ML';0),
(234;NULL;'003';'878813001251';'ANIMALE BLACK H 100ML';0),
(235;NULL;'003';'406';'ANIMALE BODY H';4),
(236;NULL;'003';'878813000230';'ANIMALE CREME 200ML';4),
(237;NULL;'003';'3608940502904';'ANIMALE F 100ML';0),
(238;NULL;'003';'3608940502867';'ANIMALE F 30ML';0),
(239;NULL;'003';'3608940502881';'ANIMALE F 50ML';0),
(240;NULL;'003';'878813000094';'ANIMALE GOLD H 100ML';2),
(241;NULL;'003';'3363930681631';'ANIMALE H 100ML';2),
(242;NULL;'003';'892456000518';'ANIMALE H 200ML';2),
(243;NULL;'003';'3363930681341';'ANIMALE H 30ML';0),
(244;NULL;'003';'3363930681433';'ANIMALE H 50ML';0),
(245;NULL;'003';'892456000648';'ANIMALE INSTINCT F 100ML';0),
(246;NULL;'003';'892456000853';'ANIMALE INSTINCT H 100ML';0),
(247;NULL;'003';'892456000983';'ANIMALE INTENSE F 100ML';0),
(248;NULL;'003';'892456000341';'ANIMALE INTENSE H 100ML';0),
(249;NULL;'003';'892456000969';'ANIMALE LOVE EDP 100ML';0),
(250;NULL;'003';'892456000976';'ANIMALE LOVE EDP 50ML';0),
(251;NULL;'003';'878813000063';'ANIMALE SEDUCTION EDP F 100ML';1),
(252;NULL;'003';'878813000025';'ANIMALE SEDUCTION H 100ML';1),
(253;NULL;'003';'878813000193';'ANIMALE SEXY EDP 30ML';6),
(254;NULL;'003';'878813000209';'ANIMALE SEXY EDP F 100ML';3),
(255;NULL;'003';'8924556000419';'ANIMALE SPORT H 50ML';0),
(256;NULL;'003';'892456000426';'ANIMALE SPORT H100ML';0),
(257;NULL;'003';'3360375012358';'ANTIDOTE H 125ML';0),
(258;NULL;'003';'3360375012341';'ANTIDOTE H 75ML';0),
(259;NULL;'003';'8411061587881';'ANTONIO H 100ML';0),
(260;NULL;'003';'8411061592113';'ANTONIO H 50ML';0),
(261;NULL;'003';'3700134404312';'AQUA LINITZ H 125ML';0),
(262;NULL;'003';'3360372008521';'ARMANI 100ML';0),
(263;NULL;'003';'3360372053255';'ARMANI 30 ML';0),
(264;NULL;'003';'3360372008514';'ARMANI 50ML';0),
(265;NULL;'003';'3605520964503';'ARMANI A.EXTREME H 75ML';0),
(266;NULL;'003';'3605520301544';'ARMANI ATTITUDE 50ML';0),
(267;NULL;'003';'3605520301605';'ARMANI ATTITUDE 75ML';0),
(268;NULL;'003';'3614272407435';'ARMANI CODE ABS H 60ML';1),
(269;NULL;'003';'3614272407442';'ARMANI CODE ABSOLU EDP 110ML';1),
(270;NULL;'003';'3614272544437';'ARMANI CODE ABSOLU F EDP 50ML';1),
(271;NULL;'003';'3614271418135';'ARMANI CODE CASHMERE EDP 30ML';0),
(272;NULL;'003';'3360372115601';'ARMANI CODE DEO 150ML';0),
(273;NULL;'003';'3360375004049';'ARMANI CODE F 30ML';0),
(274;NULL;'003';'3360375004056';'ARMANI CODE F 50ML';0),
(275;NULL;'003';'3360375010972';'ARMANI CODE F 75ML';1),
(276;NULL;'003';'3360375006432';'ARMANI CODE H 125ML';0),
(277;NULL;'003';'3605521992703';'ARMANI CODE H 200ML';0),
(278;NULL;'003';'3360372102359';'ARMANI CODE H 30ML';0),
(279;NULL;'003';'3360372100515';'ARMANI CODE H 50ML';0),
(280;NULL;'003';'3360372100522';'ARMANI CODE H 75ML';0),
(281;NULL;'003';'3605522010901';'ARMANI CODE ICE H 50ML';0),
(282;NULL;'003';'3614270581656';'ARMANI CODE PROFUMO 60ML';0),
(283;NULL;'003';'3605521324481';'ARMANI CODE SPORT 125ML';0),
(284;NULL;'003';'3605521321602';'ARMANI CODE SPORT H 50ML';0),
(285;NULL;'003';'3605521322203';'ARMANI CODE SPORT H 75ML';0),
(286;NULL;'003';'3605521228161';'ARMANI CODE SUMMER F 75ML';0),
(287;NULL;'003';'3360372019558';'ARMANI MANIA F 50ML';0),
(288;NULL;'003';'3360372089896';'ARMANI MANIA F 75ML';0),
(289;NULL;'003';'3360372045229';'ARMANI MANIA H 100ML';0),
(290;NULL;'003';'3360372045212';'ARMANI MANIA H 50ML';0),
(291;NULL;'003';'20714001940';'AROMATICS ELIXIR 45ML';0),
(292;NULL;'003';'8002747006057';'ARROGANCE F 100ML';0),
(293;NULL;'003';'8002747040778';'ARROGANCE H 100ML';0),
(294;NULL;'003';'409';'ARROGANCE H 50ML';0),
(295;NULL;'003';'3457460203361';'ARSENAL BLACK H 100ML';0),
(296;NULL;'003';'3457460233351';'ARSENAL BLUE H 100ML';4),
(297;NULL;'003';'5055121800843';'ARSENAL F 100ML';0),
(298;NULL;'003';'3700608300010';'ARSENAL GOLD 100ML';0),
(299;NULL;'003';'408';'ARSENAL GREY H 100ML';-1),
(300;NULL;'003';'5055121801154';'ARSENAL LOVE STORY EDP100ML';0),
(301;NULL;'003';'5055121801192';'ARSENAL PLATNIUM 100ML';1),
(302;NULL;'003';'3457460203354';'ARSENAL RED H 100ML';0),
(303;NULL;'003';'5055121801017';'ARSENAL SENSUALITY 100ML';0),
(304;NULL;'003';'3494800520030';'ASTERIA 100ML';0),
(305;NULL;'003';'3494800520047';'ASTERIA 30ML';0),
(306;NULL;'003';'3494800520023';'ASTERIA 50ML';0),
(307;NULL;'003';'54402200438';'AUSTRALIA GOLD 15 125ML';0),
(308;NULL;'003';'54402250525';'AUSTRALIA GOLD 15 237ML';0),
(309;NULL;'003';'54402200445';'AUSTRALIA GOLD 30 125ML';0),
(310;NULL;'003';'54402250624';'AUSTRALIA GOLD 30 237ML';0),
(311;NULL;'003';'54402200421';'AUSTRALIA GOLD 8 125ML';0),
(312;NULL;'003';'54402250488';'AUSTRALIA GOLD 8 237ML';0),
(313;NULL;'003';'54402200162';'AUSTRALIA GOLD ACCELERATOR CLEAR 125ML';0),
(314;NULL;'003';'544022500440';'AUSTRALIA GOLD ACCELERATOR CLEAR 237ML';0),
(315;NULL;'003';'544022504400';'AUSTRALIA GOLD DARK TAN ACCELERATOR237ML';0),
(316;NULL;'003';'54402250457';'AUSTRALIAN GOLD 4 INSTANT';0),
(317;NULL;'003';'54402250075';'AUSTRALIAN GOLD 4 LOTION';0),
(318;NULL;'003';'54402250563';'AUSTRALIAN GOLD ACELERADOR INSTANT';0),
(319;NULL;'003';'54402700280';'AUSTRALIAN GOLD BRONZING INTENSIFIER';0),
(320;NULL;'003';'54402700358';'AUSTRALIAN GOLD SELF TANNING 130ML';0),
(321;NULL;'003';'3595472911048';'AXIS BLACK CAVIAR 100ML';0),
(322;NULL;'003';'3595475511016';'AXIS CAVIAR PREMIUM 100ML';0),
(323;NULL;'003';'3595476111116';'AXIS DESIRE F 100ML';0),
(324;NULL;'003';'3595472131026';'AXIS DIAMOND F 100ML';0),
